X,Y,Z,Distance (meters)
596180.6012,5454457.303,62.01614761,0
596180.6495,5454457.296,62.01614761,0.049041435
596180.6978,5454457.289,62.01614761,0.098082869
596180.7461,5454457.282,62.01614761,0.147124304
596180.7944,5454457.275,62.01614761,0.196165739
596180.8426,5454457.268,62.01614761,0.245207173
596180.8909,5454457.261,62.01614761,0.294248608
596180.9392,5454457.254,62.01614761,0.343290043
596180.9875,5454457.247,62.01614761,0.392331478
596181.0358,5454457.24,62.01614761,0.441372912
596181.084,5454457.233,62.01614761,0.490414347
596181.1323,5454457.226,62.01614761,0.539455782
596181.1806,5454457.219,62.01614761,0.588497216
596181.2289,5454457.212,62.01614761,0.637538651
596181.2772,5454457.205,62.01614761,0.686580086
596181.3254,5454457.198,62.01614761,0.73562152
596181.3737,5454457.191,62.01614761,0.784662955
596181.422,5454457.184,62.01614761,0.83370439
596181.4703,5454457.178,62.01614761,0.882745824
596181.5186,5454457.171,62.01614761,0.931787259
596181.5668,5454457.164,62.01614761,0.980828694
596181.6151,5454457.157,62.01614761,1.029870128
596181.6634,5454457.15,62.01614761,1.078911563
596181.7117,5454457.143,62.01614761,1.127952998
596181.76,5454457.136,62.01614761,1.176994433
596181.8082,5454457.129,62.01614761,1.226035867
596181.8565,5454457.122,62.01614761,1.275077302
596181.9048,5454457.115,62.01614761,1.324118737
596181.9531,5454457.108,62.01614761,1.373160171
596182.0014,5454457.101,62.01614761,1.422201606
596182.0496,5454457.094,62.01614761,1.471243041
596182.0979,5454457.087,62.01614761,1.520284475
596182.1462,5454457.08,62.01614761,1.56932591
596182.1945,5454457.073,62.01614761,1.618367345
596182.2428,5454457.066,62.01614761,1.667408779
596182.291,5454457.059,62.01614761,1.716450214
596182.3393,5454457.052,62.01614761,1.765491649
596182.3876,5454457.045,62.01614761,1.814533084
596182.4359,5454457.038,62.01614761,1.863574518
596182.4842,5454457.031,62.01614761,1.912615953
596182.5324,5454457.024,62.01614761,1.961657388
596182.5807,5454457.017,62.01614761,2.010698822
596182.629,5454457.01,62.01614761,2.059740257
596182.6773,5454457.003,62.01614761,2.108781692
596182.7256,5454456.996,62.01614761,2.157823126
596182.7738,5454456.989,62.01614761,2.206864561
596182.8221,5454456.982,62.01614761,2.255905996
596182.8704,5454456.976,62.01614761,2.30494743
596182.9187,5454456.969,62.01614761,2.353988865
596182.967,5454456.962,62.01614761,2.4030303
596183.0152,5454456.955,62.01614761,2.452071735
596183.0635,5454456.948,62.01614761,2.501113169
596183.1118,5454456.941,62.01614761,2.550154604
596183.1601,5454456.934,62.01614761,2.599196039
596183.2084,5454456.927,62.01614761,2.648237473
596183.2566,5454456.92,62.01614761,2.697278908
596183.3049,5454456.913,62.01614761,2.746320343
596183.3532,5454456.906,62.01614761,2.795361777
596183.4015,5454456.899,62.01614761,2.844403212
596183.4498,5454456.892,62.01614761,2.893444647
596183.498,5454456.885,62.01614761,2.942486081
596183.5463,5454456.878,62.01614761,2.991527516
596183.5946,5454456.871,62.01614761,3.040568951
596183.6429,5454456.864,62.01614761,3.089610385
596183.6912,5454456.857,62.01614761,3.13865182
596183.7394,5454456.85,62.01614761,3.187693255
596183.7877,5454456.843,62.01614761,3.23673469
596183.836,5454456.836,62.01614761,3.285776124
596183.8843,5454456.829,62.01614761,3.334817559
596183.9326,5454456.822,62.01614761,3.383858994
596183.9808,5454456.815,62.01614761,3.432900428
596184.0291,5454456.808,62.01614761,3.481941863
596184.0774,5454456.801,62.01614761,3.530983298
596184.1257,5454456.794,62.01614761,3.580024732
596184.174,5454456.787,62.01614761,3.629066167
596184.2222,5454456.78,62.01614761,3.678107602
596184.2705,5454456.774,62.01614761,3.727149036
596184.3188,5454456.767,62.01614761,3.776190471
