geometry,y,x
POINT Z (-121.009783107 49.65653660300006 2.229007804999128e-07),1102.27685546875,987100.0000000021
POINT Z (-121.0095249477579 49.65610840467481 2.229007804999128e-07),1115.64111328125,987151.1358268308
POINT Z (-121.0091419000455 49.655800623612 2.229007804999128e-07),1116.7252197265625,987195.895980868
POINT Z (-121.0086907204062 49.65558513130793 2.229007804999128e-07),1114.66064453125,987236.3348897889
POINT Z (-121.008239540767 49.65536963900384 2.229007804999128e-07),1116.3214111328125,987276.7739250144
POINT Z (-121.0077883611277 49.65515414669976 2.229007804999128e-07),1117.32958984375,987317.212975894
POINT Z (-121.0073371814885 49.6549386543957 2.229007804999128e-07),1117.07568359375,987357.6520059531
POINT Z (-121.0068939451601 49.65470886519529 2.229007804999128e-07),1116.2821044921875,987398.4703614447
POINT Z (-121.0065483962167 49.65435000677871 2.229007804999128e-07),1115.9466552734375,987445.2040332293
POINT Z (-121.0062244549096 49.6539691366833 2.229007804999128e-07),1117.1878662109375,987493.5873133229
POINT Z (-121.0059005136025 49.65358826658791 2.229007804999128e-07),1117.0841064453125,987541.9705226852
POINT Z (-121.0056125881632 49.65318479079876 2.229007804999128e-07),1119.5875244140625,987590.7095445351
POINT Z (-121.0054581483347 49.65270924023432 2.229007804999128e-07),1127.0457763671875,987644.756220351
POINT Z (-121.0053037085061 49.65223368966986 2.229007804999128e-07),1129.4105224609375,987698.8029420903
POINT Z (-121.0051492686775 49.65175813910541 2.229007804999128e-07),1131.59765625,987752.849697314
POINT Z (-121.005004918609 49.65127954600034 2.229007804999128e-07),1129.858642578125,987806.9398770065
POINT Z (-121.0048781735592 49.65079587700987 2.229007804999128e-07),1131.6307373046875,987861.4993980882
POINT Z (-121.0047514285094 49.65031220801941 2.229007804999128e-07),1130.2794189453125,987916.0589253299
POINT Z (-121.0046246834595 49.64982853902894 2.229007804999128e-07),1133.6676025390625,987970.6184485293
POINT Z (-121.0044979384096 49.64934487003847 2.229007804999128e-07),1135.2987060546875,988025.1780250256
POINT Z (-121.0043542624945 49.64886626565453 2.229007804999128e-07),1123.61767578125,988079.5353226641
POINT Z (-121.0041995695881 49.64839079735411 2.229007804999128e-07),1121.780029296875,988133.576601673
POINT Z (-121.0040448766816 49.64791532905369 2.229007804999128e-07),1123.6610107421875,988187.6179173826
POINT Z (-121.0038901837752 49.64743986075327 2.229007804999128e-07),1124.7197265625,988241.659230101
POINT Z (-121.0037354908688 49.64696439245284 2.229007804999128e-07),1123.02978515625,988295.7005571836
POINT Z (-121.0035807979624 49.64648892415241 2.229007804999128e-07),1125.619384765625,988349.7418072087
POINT Z (-121.003426105056 49.646013455852 2.229007804999128e-07),1123.109375,988403.7830716905
POINT Z (-121.0032714121496 49.64553798755159 2.229007804999128e-07),1123.4090576171875,988457.8243750165
POINT Z (-121.0031167192432 49.64506251925117 2.229007804999128e-07),1126.7281494140625,988511.8656930111
POINT Z (-121.0029620263368 49.64458705095074 2.229007804999128e-07),1125.2593994140625,988565.9070077104
POINT Z (-121.0029102010026 49.64414753861282 2.229007804999128e-07),1124.847412109375,988617.9577925091
POINT Z (-121.0033274085397 49.64387197034362 2.229007804999128e-07),1140.1475830078125,988660.9323391865
POINT Z (-121.0037446160767 49.64359640207442 2.229007804999128e-07),1142.93798828125,988703.9069795869
POINT Z (-121.0041618236139 49.64332083380522 2.229007804999128e-07),1153.298828125,988746.8815338047
POINT Z (-121.004579031151 49.64304526553603 2.229007804999128e-07),1154.5908203125,988789.8562017289
POINT Z (-121.0049939725318 49.64276712595105 2.229007804999128e-07),1156.1087646484375,988832.9629457925
POINT Z (-121.0052253068507 49.64233862403868 2.229007804999128e-07),1160.648681640625,988884.1967923669
POINT Z (-121.0052043592209 49.6418390630346 2.229007804999128e-07),1165.2681884765625,988939.7715191606
POINT Z (-121.0052087238452 49.64134097835172 2.229007804999128e-07),1159.5303955078125,988995.2515841797
POINT Z (-121.0054539761643 49.64091505049946 2.229007804999128e-07),1161.2794189453125,989046.303425779
POINT Z (-121.0057736195543 49.64053056629535 2.229007804999128e-07),1166.6805419921875,989094.893897482
POINT Z (-121.0059082853545 49.64019727675925 2.229007804999128e-07),1167.54833984375,989141.1786735349
POINT Z (-121.0058009269189 49.63993096822512 2.229007804999128e-07),1163.9981689453125,989184.4467974065
POINT Z (-121.0061379697645 49.63956192701983 2.229007804999128e-07),1156.682861328125,989232.1773956361
POINT Z (-121.0064817850921 49.63919889668984 2.229007804999128e-07),1147.2391357421875,989279.5733250375
POINT Z (-121.0068241129386 49.63883446634728 2.229007804999128e-07),1143.8397216796875,989327.0462225602
POINT Z (-121.0071656668964 49.63846930762298 2.229007804999128e-07),1140.33935546875,989374.5592221795
POINT Z (-121.0075072208542 49.63810414889867 2.229007804999128e-07),1138.4903564453125,989422.0722447754
POINT Z (-121.0078487748119 49.63773899017436 2.229007804999128e-07),1134.5286865234375,989469.5852801732
POINT Z (-121.0081903287697 49.63737383145006 2.229007804999128e-07),1139.2965087890625,989517.0984183135
POINT Z (-121.0085639697071 49.63704351139005 2.229007804999128e-07),1137.5701904296875,989562.7854699487
POINT Z (-121.0089559348801 49.63673308699813 2.229007804999128e-07),1135.640380859375,989607.4297135527
POINT Z (-121.0093479000532 49.63642266260621 2.229007804999128e-07),1133.02001953125,989652.0740315345
POINT Z (-121.0097491793131 49.63612558573285 2.229007804999128e-07),1132.9793701171875,989696.0915362968
POINT Z (-121.0101757836037 49.63586480080387 2.229007804999128e-07),1132.1602783203125,989738.4048458254
POINT Z (-121.0106023878944 49.63560401587489 2.229007804999128e-07),1134.80908203125,989780.7182997273
POINT Z (-121.0110289921851 49.6353432309459 2.229007804999128e-07),1146.298828125,989823.0317033073
POINT Z (-121.0114555964757 49.63508244601694 2.229007804999128e-07),1152.0390625,989865.3450833856
POINT Z (-121.0118822007664 49.63482166108793 2.229007804999128e-07),1155.2021484375,989907.6585347803
POINT Z (-121.0123088050571 49.63456087615899 2.229007804999128e-07),1155.6187744140625,989949.971905538
POINT Z (-121.0127354093477 49.63430009122999 2.229007804999128e-07),1160.5848388671875,989992.2853907134
POINT Z (-121.0131833555983 49.63408118770629 2.229007804999128e-07),1160.9122314453125,990032.9443845495
POINT Z (-121.0136450698874 49.63388930254478 2.229007804999128e-07),1161.8309326171875,990072.5359156213
POINT Z (-121.0141067841766 49.63369741738325 2.229007804999128e-07),1161.291259765625,990112.1274854499
POINT Z (-121.0145684984657 49.63350553222175 2.229007804999128e-07),1161.275390625,990151.7190097405
POINT Z (-121.0150302127549 49.63331364706024 2.229007804999128e-07),1162.7791748046875,990191.3106394366
POINT Z (-121.015491927044 49.63312176189873 2.229007804999128e-07),1164.3880615234375,990230.9022592955
POINT Z (-121.0159536413331 49.63292987673722 2.229007804999128e-07),1165.30224609375,990270.4939521499
POINT Z (-121.0164153344479 49.63273794063439 2.229007804999128e-07),1164.009765625,990310.0875586118
POINT Z (-121.0168928933263 49.63260351986308 2.229007804999128e-07),1173.2506103515625,990348.2578605175
POINT Z (-121.0173545999026 49.63241161614382 2.229007804999128e-07),1168.63916015625,990387.8506476491
POINT Z (-121.0178163064788 49.63221971242457 2.229007804999128e-07),1171.3603515625,990427.4435582089
POINT Z (-121.018278013055 49.63202780870532 2.229007804999128e-07),1172.120849609375,990467.0365821604
POINT Z (-121.0187466070331 49.63185340462329 2.229007804999128e-07),1170.1103515625,990506.0468530421
POINT Z (-121.0192152574839 49.63167914402839 2.229007804999128e-07),1170.618408203125,990545.0524274661
POINT Z (-121.0196839079347 49.63150488343349 2.229007804999128e-07),1170.1312255859375,990584.0581018421
POINT Z (-121.0201525583855 49.6313306228386 2.229007804999128e-07),1173.629638671875,990623.0638785783
POINT Z (-121.0206179869874 49.63114970105384 2.229007804999128e-07),1181.169677734375,990662.3238175565
POINT Z (-121.0210455476164 49.63089048703314 2.229007804999128e-07),1177.520751953125,990704.5699643287
POINT Z (-121.0214731082455 49.63063127301247 2.229007804999128e-07),1172.8587646484375,990746.8162312396
POINT Z (-121.0219006688745 49.63037205899178 2.229007804999128e-07),1173.290771484375,990789.0626126127
POINT Z (-121.0223282295035 49.6301128449711 2.229007804999128e-07),1173.7708740234375,990831.309108445
POINT Z (-121.0227557901325 49.62985363095042 2.229007804999128e-07),1171.0196533203125,990873.5557187349
POINT Z (-121.0231839902764 49.629595537066 2.229007804999128e-07),1174.472412109375,990915.7549158739
POINT Z (-121.0236245616829 49.62935911194929 2.229007804999128e-07),1167.9415283203125,990957.0350122941
POINT Z (-121.0241038373913 49.62921677708776 2.229007804999128e-07),1164.5296630859375,990995.1069402733
POINT Z (-121.0245832461493 49.62907476567034 2.229007804999128e-07),1170.389404296875,991033.1679500715
POINT Z (-121.0250626549074 49.62893275425289 2.229007804999128e-07),1172.319580078125,991071.2290502464
POINT Z (-121.0255420636655 49.62879074283544 2.229007804999128e-07),1171.0504150390625,991109.290237301
POINT Z (-121.0260214724236 49.62864873141798 2.229007804999128e-07),1173.890625,991147.3515112398
POINT Z (-121.0265008811816 49.62850672000054 2.229007804999128e-07),1175.012451171875,991185.4128720568
POINT Z (-121.0269802899397 49.62836470858309 2.229007804999128e-07),1169.4930419921875,991223.4743197516
POINT Z (-121.0274596986978 49.62822269716564 2.229007804999128e-07),1173.8516845703125,991261.5358543259
POINT Z (-121.0279391074559 49.62808068574819 2.229007804999128e-07),1180.024658203125,991299.5974757755
POINT Z (-121.0284185162139 49.62793867433076 2.229007804999128e-07),1181.2784423828125,991337.6591840956
POINT Z (-121.028897924972 49.6277966629133 2.229007804999128e-07),1182.7259521484375,991375.7209792912
POINT Z (-121.0293773337301 49.62765465149586 2.229007804999128e-07),1186.9931640625,991413.7828604936
POINT Z (-121.0298567424881 49.62751264007841 2.229007804999128e-07),1189.0538330078125,991451.8448270408
POINT Z (-121.0303483228889 49.62743102237333 2.229007804999128e-07),1190.3936767578125,991488.766188609
POINT Z (-121.0308453140277 49.62737625187094 2.229007804999128e-07),1194.7186279296875,991525.1805119811
POINT Z (-121.0313423051665 49.62732148136855 2.229007804999128e-07),1199.84912109375,991561.5948694755
POINT Z (-121.0318367323477 49.62725844156975 2.229007804999128e-07),1198.91259765625,991598.2305309745
POINT Z (-121.0322775323212 49.62702244287615 2.229007804999128e-07),1195.3314208984375,991639.4943035204
POINT Z (-121.0327183322947 49.62678644418259 2.229007804999128e-07),1193.017578125,991680.758190529
POINT Z (-121.0331591322682 49.62655044548899 2.229007804999128e-07),1193.999755859375,991722.0221835013
POINT Z (-121.0335855859407 49.62628947324316 2.229007804999128e-07),1190.0811767578125,991764.3490753971
POINT Z (-121.034011507748 49.62602757514455 2.229007804999128e-07),1187.09033203125,991806.7154818344
POINT Z (-121.0344374295553 49.62576567704593 2.229007804999128e-07),1184.601318359375,991849.0819967194
POINT Z (-121.0348728267114 49.62552160115043 2.229007804999128e-07),1180.0809326171875,991890.7250750794
POINT Z (-121.0353281385215 49.62531498276891 2.229007804999128e-07),1177.87939453125,991930.8475465653
POINT Z (-121.0357834503316 49.62510836438741 2.229007804999128e-07),1178.251220703125,991970.970125069
POINT Z (-121.0362387621417 49.62490174600592 2.229007804999128e-07),1179.2686767578125,992011.0928149158
POINT Z (-121.0366696325307 49.62464918702668 2.229007804999128e-07),1178.5714111328125,992053.0813892632
POINT Z (-121.0370954062675 49.62438704827516 2.229007804999128e-07),1178.0997314453125,992095.4591375899
POINT Z (-121.0375211800043 49.62412490952368 2.229007804999128e-07),1169.861328125,992137.8370021387
POINT Z (-121.0379469537412 49.62386277077217 2.229007804999128e-07),1181.5462646484375,992180.2149813959
POINT Z (-121.038372727478 49.6236006320207 2.229007804999128e-07),1179.8179931640625,992222.5930751495
POINT Z (-121.0387985012148 49.62333849326919 2.229007804999128e-07),1182.12255859375,992264.9712833995
POINT Z (-121.0392242749516 49.62307635451769 2.229007804999128e-07),1177.471923828125,992307.3496061434
POINT Z (-121.0396500486884 49.6228142157662 2.229007804999128e-07),1174.13916015625,992349.7280433791
POINT Z (-121.0400758224252 49.6225520770147 2.229007804999128e-07),1179.65087890625,992392.1065951021
POINT Z (-121.040501596162 49.62228993826321 2.229007804999128e-07),1182.953125,992434.485261311
POINT Z (-121.0409273698989 49.62202779951171 2.229007804999128e-07),1183.2996826171875,992476.8640420057
POINT Z (-121.0413531436357 49.62176566076023 2.229007804999128e-07),1181.1590576171875,992519.2429371816
POINT Z (-121.0417789173725 49.62150352200873 2.229007804999128e-07),1179.98095703125,992561.6219468376
POINT Z (-121.0422046911093 49.62124138325724 2.229007804999128e-07),1178.7904052734375,992604.0010709687
POINT Z (-121.0426304648462 49.62097924450573 2.229007804999128e-07),1178.84912109375,992646.3803095785
POINT Z (-121.043056238583 49.62071710575424 2.229007804999128e-07),1178.640869140625,992688.7596626608
POINT Z (-121.0434820123198 49.62045496700276 2.229007804999128e-07),1182.578369140625,992731.1391302106
POINT Z (-121.0439077860566 49.62019282825125 2.229007804999128e-07),1189.1688232421875,992773.5187122293
POINT Z (-121.0443335597934 49.61993068949975 2.229007804999128e-07),1193.7109375,992815.8984087143
POINT Z (-121.0447593335303 49.61966855074827 2.229007804999128e-07),1195.3599853515625,992858.2782196619
POINT Z (-121.0451851072671 49.61940641199677 2.229007804999128e-07),1143.7628173828125,992900.6581450717
POINT Z (-121.0456108810039 49.61914427324528 2.229007804999128e-07),1111.4150390625,992943.0381849378
POINT Z (-121.0460366547407 49.61888213449378 2.229007804999128e-07),1111.1845703125,992985.4183392586
POINT Z (-121.0464624284775 49.61861999574229 2.229007804999128e-07),1149.5047607421875,993027.7986080376
POINT Z (-121.0468882022144 49.61835785699079 2.229007804999128e-07),1187.40478515625,993070.1789912677
POINT Z (-121.0473139759512 49.61809571823931 2.229007804999128e-07),1199.2607421875,993112.5594889459
POINT Z (-121.047739749688 49.61783357948782 2.229007804999128e-07),1199.26025390625,993154.9401010713
