KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
987100,987220,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
987220,987500,PT,FBE,11.8,11.8mm FBE,11.8mm Fusion-Bonded Epoxy TYPE 4,17,,"[122, 189, 156]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
987500,987617,PT,FBE,11.8,11.8mm FBE,11.8mm Fusion-Bonded Epoxy TYPE 4,17,,"[122, 189, 156]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
987617,987641,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
987641,987665,PT,FBE,19,19.0mm FBE-M45,19.0mm Fusion-Bonded Epoxy (M45) TYPE 41,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
987665,987689,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
987689,988558,PT,FBE,11.8,11.8mm FBE,11.8mm Fusion-Bonded Epoxy TYPE 4,17,,"[122, 189, 156]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
988558,988582.23,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
988582.23,988606.23,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
988606.23,988614.23,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
988614.23,988638.23,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
988638.23,988662.23,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
988662.23,989127,PT,FBE,11.8,11.8mm FBE,11.8mm Fusion-Bonded Epoxy TYPE 4,17,,"[122, 189, 156]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
989127,989136.72,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
989136.72,989157,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
989157,989166.66,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
989166.66,990260.66,PT,FBE,11.8,11.8mm FBE,11.8mm Fusion-Bonded Epoxy TYPE 4,17,,"[122, 189, 156]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990260.66,990272.66,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990272.66,990309.36,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990309.36,990313.96,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990313.96,990326.9,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990326.9,990332,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990332,990356,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990356,990615,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990615,990638.7,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990638.7,990643.3,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990643.3,990667,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990667,990907,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990907,990930.7,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990930.7,990935.3,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990935.3,990955.08,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990955.08,990959.27,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990959.27,990983.27,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
990983.27,991437.46,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991437.46,991461.46,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991461.46,991465.66,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991465.66,991489.66,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991489.66,991569.65,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991569.65,991593.65,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991593.65,991599.04,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991599.04,991623.04,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
991623.04,992006,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
