KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
990270,990439,TS,FW,15,15-20cm FW,15-20cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
990439,990496,TS,SSH,15,15-20cm SSH,15-20cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
990496,990978,TS,SSH,0,0cm SSH,0cm Site-Specific Handling,2,,"[179, 178, 91]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
990978,991081,TS,FW,15,15-20cm FW,15-20cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
991081,991214,TS,SSH,15,15-20cm SSH,15-20cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
991214,991602,TS,FW,15,15-20cm FW,15-20cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
991602,991632,TS,SSH,15,15-20cm SSH,15-20cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
991632,991926,TS,FW,15,15-20cm FW,15-20cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
991926,991982,TS,SSH,15,15-20cm SSH,15-20cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
991982,992126,TS,FW,15,15-20cm FW,15-20cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
992126,992187,TS,SSH,15,15-20cm SSH,15-20cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
