geometry,elevation,chainage
POINT (643641.9334460767 5502345.812975327),1102.276855,987100
POINT (643649.0810370182 5502328.886086144),1109.500488,987118.3741
POINT (643656.2286691099 5502311.959205942),1111.537354,987136.7482
POINT (643663.3763423515 5502295.032334719),1116.791382,987155.1224
POINT (643672.9743757788 5502281.504892029),1116.984619,987171.8257
POINT (643683.6244109186 5502269.919197717),1116.64856,987187.6707
POINT (643695.5525758371 5502261.621430536),1116.860352,987202.2012
POINT (643707.4807774697 5502253.323688989),1116.799927,987216.7317
POINT (643719.4090158177 5502245.025973075),1115.259888,987231.2622
POINT (643731.3372908793 5502236.728282792),1115.159912,987245.7928
POINT (643743.2656026529 5502228.430618143),1115.945557,987260.3233
POINT (643755.1939511419 5502220.132979126),1116.369873,987274.8539
POINT (643767.1223363425 5502211.835365742),1116.325806,987289.3845
POINT (643779.0507582583 5502203.53777799),1116.911743,987303.915
POINT (643790.9792168856 5502195.24021587),1117.621338,987318.4455
POINT (643802.9077122263 5502186.942679383),1117.489868,987332.9761
POINT (643814.8362442818 5502178.64516853),1117.354126,987347.5066
POINT (643826.7648130488 5502170.347683308),1116.955811,987362.0372
POINT (643838.6934185306 5502162.050223719),1116.55188,987376.5678
POINT (643849.8112177816 5502151.624236046),1116.579468,987391.9423
POINT (643860.1338273592 5502139.165531706),1116.659302,987408.1302
POINT (643868.9699064868 5502124.218846912),1117.17627,987425.4934
POINT (643877.8060319076 5502109.272175902),1116.128784,987442.8566
POINT (643886.6422036177 5502094.325518676),1116.547729,987460.2198
POINT (643895.4784216208 5502079.37887524),1117.490356,987477.5831
POINT (643904.3146859148 5502064.432245589),1118.235352,987494.9463
POINT (643913.1509964977 5502049.485629724),1117.706665,987512.3095
POINT (643921.9873533713 5502034.539027644),1116.852173,987529.6727
POINT (643930.8237565373 5502019.592439352),1117.105591,987547.0359
POINT (643939.6602059936 5502004.645864844),1118.95166,987564.3992
POINT (643946.5524626926 5501987.918681211),1119.359131,987582.6911
POINT (643951.115342245 5501969.058124467),1121.278198,987602.0957
POINT (643955.6782489021 5501950.197571467),1124.595337,987621.5004
POINT (643960.2411826602 5501931.337022209),1126.962646,987640.905
POINT (643964.8041435211 5501912.476476697),1127.271484,987660.3097
POINT (643969.3671314846 5501893.615934927),1126.401367,987679.7144
POINT (643973.9301465524 5501874.7553969),1129.620239,987699.119
POINT (643978.4931887209 5501855.894862616),1128.260498,987718.5237
POINT (643983.0562579916 5501837.034332077),1130.168091,987737.9284
POINT (643987.6193543645 5501818.173805281),1132.061157,987757.3331
POINT (643992.1824778412 5501799.313282227),1131.638794,987776.7378
POINT (643996.2943880723 5501780.230528899),1131.078369,987796.2618
POINT (644000.164729704 5501761.028795463),1129.507202,987815.8497
POINT (644004.0350938912 5501741.827064795),1131.958374,987835.4376
POINT (644007.9054806341 5501722.625336895),1132.400879,987855.0255
POINT (644011.775889934 5501703.423611762),1131.317749,987874.6134
POINT (644015.6463217877 5501684.221889396),1130.140625,987894.2013
POINT (644019.5167761967 5501665.020169798),1130.459595,987913.7893
POINT (644023.3872531608 5501645.818452967),1131.858154,987933.3772
POINT (644027.25775268 5501626.616738904),1134.72876,987952.9651
POINT (644031.1282747542 5501607.415027608),1133.72998,987972.553
POINT (644034.9988193833 5501588.213319078),1134.388794,987992.1409
POINT (644038.8693865673 5501569.011613318),1135.46936,988011.7288
POINT (644042.7399763059 5501549.809910323),1135.888794,988031.3168
POINT (644046.884999397 5501530.744214219),1130.75061,988050.8317
POINT (644051.4927862618 5501511.907864846),1124.958618,988070.2234
POINT (644056.1006005111 5501493.071519283),1124.246582,988089.6152
POINT (644060.7084421407 5501474.235177533),1122.598999,988109.007
POINT (644065.3163111525 5501455.398839595),1121.680786,988128.3988
POINT (644069.9242075465 5501436.562505467),1121.921265,988147.7906
POINT (644074.5321313223 5501417.726175153),1123.430298,988167.1823
POINT (644079.14008248 5501398.88984865),1123.800049,988186.5741
POINT (644083.7480610213 5501380.053525957),1123.730347,988205.9659
POINT (644088.3560669424 5501361.217207079),1125.577393,988225.3577
POINT (644092.964100245 5501342.380892011),1125.009155,988244.7495
POINT (644097.572160929 5501323.544580756),1124.127808,988264.1413
POINT (644102.1802489944 5501304.708273312),1123.507813,988283.5331
POINT (644106.7883644408 5501285.87196968),1123.734985,988302.9249
POINT (644111.3965072701 5501267.035669859),1125.848999,988322.3167
POINT (644116.0046774785 5501248.199373852),1125.93103,988341.7084
